draw,date,shift,demand_sample,total_cost,coverage_rate,shortfall
40,2025-10-29,morning,21.079208521776536,376.0,1.0,0.0
40,2025-10-29,night,7.214528775913388,284.0,1.0,0.0
41,2025-10-29,evening,74.15496067101326,1320.0,1.0,0.0
41,2025-10-29,morning,40.3644414207927,752.0,1.0,0.0
41,2025-10-29,night,26.977466514983902,568.0,1.0,0.0
42,2025-10-29,evening,43.34397281687741,752.0,1.0,0.0
42,2025-10-29,morning,18.727532918259413,376.0,1.0,0.0
42,2025-10-29,night,40.95445224625941,752.0,1.0,0.0
43,2025-10-29,evening,57.43847487100439,1036.0,1.0,0.0
43,2025-10-29,morning,41.63925374321954,752.0,1.0,0.0
43,2025-10-29,night,55.06515261772373,944.0,1.0,0.0
44,2025-10-29,evening,35.71943510996772,660.0,1.0,0.0
44,2025-10-29,morning,66.10860728921219,1128.0,1.0,0.0
44,2025-10-29,night,54.720071039731465,944.0,1.0,0.0
45,2025-10-29,evening,40.93978564776705,752.0,1.0,0.0
45,2025-10-29,morning,68.2409882289118,1128.0,1.0,0.0
45,2025-10-29,night,40.56975677924888,752.0,1.0,0.0
46,2025-10-29,evening,61.37076467829705,1036.0,1.0,0.0
46,2025-10-29,morning,21.320977068866682,376.0,1.0,0.0
46,2025-10-29,night,39.48902434096376,660.0,1.0,0.0
47,2025-10-29,evening,28.973972441992668,568.0,1.0,0.0
47,2025-10-29,morning,17.951964732745516,376.0,1.0,0.0
47,2025-10-29,night,39.3996189779742,660.0,1.0,0.0
48,2025-10-29,evening,40.66749768474284,752.0,1.0,0.0
48,2025-10-29,morning,62.699246555654256,1036.0,1.0,0.0
48,2025-10-29,night,27.41841177089637,568.0,1.0,0.0
49,2025-10-29,evening,66.42314464923459,1128.0,1.0,0.0
49,2025-10-29,morning,30.859995705250075,568.0,1.0,0.0
49,2025-10-29,night,11.746966140709093,284.0,1.0,0.0
50,2025-10-29,evening,81.01299249944182,1412.0,1.0,0.0
50,2025-10-29,morning,44.50795861245933,752.0,1.0,0.0
50,2025-10-29,night,14.466036953994893,284.0,1.0,0.0
51,2025-10-29,evening,74.41590580944828,1320.0,1.0,0.0
51,2025-10-29,morning,62.19396512997419,1036.0,1.0,0.0
51,2025-10-29,night,31.45736085597489,568.0,1.0,0.0
52,2025-10-29,evening,44.97626175282147,752.0,1.0,0.0
52,2025-10-29,morning,19.40409558831557,376.0,1.0,0.0
52,2025-10-29,night,5.634727171690638,284.0,1.0,0.0
53,2025-10-29,evening,69.18560323674075,1128.0,1.0,0.0
53,2025-10-29,morning,30.69509882469086,568.0,1.0,0.0
53,2025-10-29,night,46.29786733867935,752.0,1.0,0.0
54,2025-10-29,evening,43.17459408789229,752.0,1.0,0.0
54,2025-10-29,morning,8.779312677994602,284.0,1.0,0.0
54,2025-10-29,night,34.02476691354752,660.0,1.0,0.0
55,2025-10-29,evening,33.32558399518125,660.0,1.0,0.0
55,2025-10-29,morning,6.016224921626042,284.0,1.0,0.0
55,2025-10-29,night,6.993012592260284,284.0,1.0,0.0
56,2025-10-29,evening,86.62686537009955,1412.0,1.0,0.0
56,2025-10-29,morning,64.32365077423523,1128.0,1.0,0.0
56,2025-10-29,night,54.24723736427899,944.0,1.0,0.0
57,2025-10-29,evening,55.3521758251015,944.0,1.0,0.0
57,2025-10-29,morning,39.51717664067334,660.0,1.0,0.0
57,2025-10-29,night,58.7061823741739,1036.0,1.0,0.0
58,2025-10-29,evening,77.46580365762006,1320.0,1.0,0.0
58,2025-10-29,morning,26.714464674418956,568.0,1.0,0.0
58,2025-10-29,night,55.38004271126726,944.0,1.0,0.0
59,2025-10-29,evening,34.778386365979614,660.0,1.0,0.0
59,2025-10-29,morning,37.19364897433985,660.0,1.0,0.0
